,latitude,longitude,name
23165,4.0,9.7333,Douala Obs.
23173,4.4,18.5167,Bangui
23187,4.8667,31.6,Juba
23255,4.2167,100.7,Sitiawan
23269,4.3333,113.9833,Miri
23437,5.7167,-76.6167,Quibdo / El Carano
23460,5.5,-54.0333,Saint-Laurent-Du-Maroni
23511,5.3,-3.3,Adiake
23517,6.35,2.3833,Cotonou
23614,5.3,100.2667,Penang / Bayan Lepas
23630,5.3,115.25,Labuan
23633,5.9,118.0667,Sandakan
23637,6.9,122.0667,Zamboanga
23665,7.4667,151.85,"Weno Island, Chuuk Int. Airp."
23797,6.2167,-75.6,Medellin / Olaya Herrera
23799,7.0167,-73.8,Barrancabermeja / Yariguies
23800,7.1,-73.2,Bucaramanga / Palonegro
23803,7.0667,-70.7333,Arauca / Santiago Perez
23805,6.1667,-67.5,Puerto Carreno / A. Guauquea
23814,6.5,-58.25,Timehri Airport
23853,11.5833,-15.4833,Bolama
23865,7.3833,-7.5167,Man
23867,6.1333,-5.95,Gagnoa
23868,6.65,-4.7,Dimbokro
23870,6.2,-2.3333,Sefwi Bekwai
23872,5.9333,-0.9833,Akim Oda
23873,6.1,0.1167,Akuse
23876,6.5833,3.3333,Lagos / Ikeja
23888,5.9667,15.6333,Bouar
23968,5.8667,95.3167,Sabang / Cut Bau
23975,6.1667,102.2833,Kota Bharu
23989,5.9333,116.05,Kota Kinabalu
24140,13.5667,-89.8333,Acajutla
24167,8.15,-63.55,Ciudad Bolivar
24173,6.8,-58.15,Georgetown
24223,7.7333,-8.8333,N'Zerekore
24229,7.3333,-2.3333,Sunyani
24232,6.6,0.4667,Ho
24233,7.5833,1.1167,Atakpame
24234,7.1667,2.0667,Bohicon
24241,7.6833,8.6167,Makurdi
24245,7.35,13.5667,Ngaoundere
24268,7.6667,36.8333,Jimma
24308,8.4667,76.95,Thiruvananthapuram
24337,9.1667,105.1667,Ca Mau
24518,7.9333,-72.5167,Cucuta / Camilo Daza
24520,8.6,-71.1833,Merida
24522,9.0167,-69.7333,Guanare
24574,9.5667,-13.6167,Conakry / Gbessia
24581,8.5333,-9.4667,Macenta
24585,7.7333,-5.0667,Bouake
24588,8.05,-2.7833,Bondoukou
24589,7.75,-2.1,Wenchi
24593,8.0333,2.4667,Save
24606,8.6167,16.0667,Moundou
24609,9.15,18.3833,Sarh
24627,8.1667,35.55,Gore
24672,8.5833,81.25,Trincomalee
24688,8.1167,98.3167,Phuket Airport
24692,7.2,100.6,Songkhla
24699,10.9333,108.1,Phan Thiet
24806,19.7167,-155.05,Hilo International Airport
24874,8.8167,-75.85,Monteria / Los Garzones
24942,9.5,-7.5667,Odienne
24944,9.4167,-5.6167,Korhogo
24946,9.0333,-2.4833,Bole
24949,9.5,-0.85,Tamale
24951,8.9833,1.15,Sokode
24952,9.35,2.6167,Parakou
24954,8.4833,4.5833,Ilorin
24959,9.8667,8.9,Jos
24962,9.2333,12.4667,Yola
24963,9.3333,13.3833,Garoua
24988,8.9833,38.8,Addis Ababa
24992,9.6,41.8667,Dire Dawa
25049,9.1167,99.35,Surat Thani
25053,10.2167,103.9667,Phu Quoc
25062,12.25,109.2,Nha Trang
25074,9.6,123.85,Tagbilaran
25226,10.0,-83.05,Puerto Limon
25233,10.45,-75.5167,Cartagena / Rafael Nunez
25235,10.4333,-73.25,Valledupar / Alfonso Lopez
25239,10.0667,-69.3167,Barquisimeto
25244,10.1167,-64.6833,Barcelona
25246,9.75,-63.1833,Maturin
25294,10.9333,-14.3167,Boke
25296,10.05,-12.8667,Kindia
25298,10.0333,-10.75,Faranah / Badala
25300,10.3833,-9.3,Kankan
25305,10.3333,-3.1833,Gaoua
25307,10.05,-2.5,Wa
25311,10.3167,1.3833,Natitingou
25323,10.45,14.25,Maroua-Salak
25329,11.0333,20.2833,Am-Timan
25415,10.8167,106.6667,Ho Chi Minh
25433,10.3,123.9667,Mactan
25435,9.8,125.5,Surigao
25587,12.5833,-81.7167,San Andres Isla / Sesquicentenario
25593,10.8833,-74.7833,Barranquilla / Ernestocortissoz
25595,11.5333,-72.9333,Riohacha / Almirante Padilla
25596,10.5667,-71.7333,Maracaibo-La Chinita
25601,10.6,-66.9833,Caracas / Maiquetia Aerop. Intl. Simon Bolivar
25655,11.3167,-12.3,Labe
25660,11.4167,-7.5,Bougouni
25662,11.35,-5.6833,Sikasso
25663,11.1667,-4.3167,Bobo-Dioulasso
25667,10.9,-1.1,Navrongo
25671,11.1333,2.9333,Kandi
25672,11.8833,3.45,Gaya
25679,11.85,13.0833,Maiduguri
25686,12.1833,18.6833,Mongo
25692,12.05,24.8833,Nyala
25707,11.0833,39.7167,Combolcha
25773,11.55,104.85,Phnom-Penh / Pochentong
25793,11.25,125.0,Tacloban
25941,12.15,-86.1667,Managua A. C. Sandino
25942,12.1,-85.3667,Juigalpa
26011,11.8833,-15.65,Bissau Aeroport
26014,12.5667,-12.2167,Kedougou
26016,12.85,-11.2333,Kenieba
26019,12.5333,-7.95,Bamako / Senou
26021,12.3833,-5.4667,Koutiala
26024,11.75,-2.9333,Boromo
26025,12.35,-1.5167,Ouagadougou
26027,12.0333,0.3667,Fada N'Gourma
26035,12.05,8.5333,Kano
26038,13.2333,11.9833,Maine-Soroa
26042,12.1333,15.0333,Ndjamena
26049,13.4833,22.45,Geneina
26114,11.6667,92.7167,Port Blair
26366,14.7333,-17.5,Dakar / Yoff
26367,13.35,-16.8,Banjul / Yundum
26370,12.55,-16.2667,Ziguinchor
26371,12.8833,-14.9667,Kolda
26372,13.7667,-13.6833,Tambacounda
26376,13.0667,-9.4667,Kita
26379,13.4,-6.15,Segou
26381,13.3333,-4.8333,San
26384,13.5667,-2.4167,Ouahigouya
26388,13.4833,2.1667,Niamey-Aero
26393,13.4667,7.0833,Maradi
26404,13.2167,18.3167,Ati
26406,13.85,20.85,Abeche
26411,13.6167,25.3333,El Fasher
26416,13.1667,30.2333,El Obeid
26423,12.5333,37.4333,Gondar
26449,20.6667,58.9,Masirah
26461,12.9167,74.8833,Mangalore / Bajpe
26465,12.9167,79.15,Vellore
26466,13.0,80.1833,Madras / Minambakkam
26488,12.6,102.1167,Chanthaburi
26496,13.7667,109.2167,Quy Nhon
26535,15.1167,145.7333,"Saipan Island, Saipan International Airport"
26656,13.7,-89.1167,San Salvador / Ilopango
26658,14.05,-87.2167,Tegucigalpa
26729,14.1333,-16.0667,Kaolack
26733,14.4333,-11.4333,Kayes
26741,14.5167,-4.1,Mopti
26746,14.2,1.45,Tillabery
26750,13.8,5.25,Birni-N'Konni
26753,13.7833,8.9833,Zinder
26844,14.0167,99.5333,Kanchanaburi
26846,14.05,101.3667,Prachin Buri
26869,13.5833,124.2333,Virac
27016,15.45,-87.9333,La Mesa San Pedro Sula
27020,15.2167,-83.8,Puerto Lempira
27026,17.9333,-76.7833,Kingston / Norman Manley
27088,14.65,-16.2333,Diourbel
27089,15.3833,-15.1167,Linguere
27090,15.65,-13.25,Matam
27095,15.2333,-9.35,Nioro Du Sahel
27108,14.9,5.25,Tahoua
27135,15.6,32.55,Khartoum
27160,17.0333,54.0833,Salalah
27200,16.7667,96.1667,Yangon
27206,14.9667,102.0833,Nakhon Ratchasima
27370,16.75,-93.1167,"Tuxtla Gutierrez, Chis."
27371,16.25,-92.1333,"Comitan, Chis."
27376,15.7333,-86.8667,La Ceiba Airport
27384,18.5,-77.9167,Montego Bay / Sangster
27391,18.2,-71.1,Barahona
27446,16.05,-16.45,Saint-Louis
27470,16.9667,7.9833,Agadez
27481,18.0,19.1667,Faya
27538,15.85,74.6167,Belgaum / Sambra
27563,15.8,100.1667,Nakhon Sawan
27567,16.05,103.6833,Roi Et
27568,16.5333,104.7167,Mukdahan
27571,16.0333,108.1833,Da Nang
27723,17.55,-99.5,"Chilpancingo, Gro."
27734,17.5333,-88.3,Belize / Phillip Goldston Intl. Airport
27799,16.7333,-22.95,Sal
27807,16.65,-14.9667,Podor
27833,18.6833,12.9167,Bilma
27850,19.1667,30.4833,Dongola
27896,16.7,74.2333,Kolhapur
27903,16.5333,80.8,Vijayawada / Gannavaram
27921,16.8833,99.15,Tak
27927,16.6667,105.0,Seno
27928,17.5167,106.5833,Dong Hoi
27940,17.5667,120.3833,Vigan
27943,16.4167,120.6,Baguio
27944,17.6167,121.7333,Tuguegarao
28086,18.15,-94.4167,"Coatzacoalcos, Ver."
28162,18.1,-15.95,Nouakchott
28246,21.65,69.6667,Porbandar
28257,17.6667,75.9,Sholapur
